munic;codigo_ibge;latitude;longitude;grafia_correta
Panorama;3535408;-21.354;-518.562;1
Paraguaçu Paulista;3535507;-224.114;-505.732;1
Paraibuna;3535606;-233.872;-456.639;1
Paraíso;3535705;-210.159;-487.761;1
Paranapanema;3535804;-233.862;-487.214;1
Paranapuã;3535903;-201.048;-505.886;1
Parapuã;3536000;-217.792;-507.949;1
Pardinho;3536109;-230.841;-483.679;1
Pariquera-Açu;3536208;-247.147;-478.742;1
Parisi;3536257;-203.034;-500.163;1
Patrocínio Paulista;3536307;-206.384;-472.801;1
Paulicéia;3536406;-213.153;-518.321;1
Paulínia;3536505;-227.542;-471.488;1
Paulistânia;3536570;-225.768;-494.008;1
Paulo de Faria;3536604;-200.296;-49.4;1
Pederneiras;3536703;-223.511;-487.781;1
Pedra Bela;3536802;-227.902;-464.455;1
Pedranópolis;3536901;-202.474;-501.129;1
Pedregulho;3537008;-202.535;-474.775;1
Pedreira;3537107;-227.413;-468.948;1
Pedrinhas Paulista;3537156;-228.174;-507.933;1
Pedro de Toledo;3537206;-242.764;-472.354;1
Penápolis;3537305;-214.148;-500.769;1
Pereira Barreto;3537404;-206.368;-511.123;1
Pereiras;3537503;-230.804;-47.972;1
Peruíbe;3537602;-24.312;-470.012;1
Piacatu;3537701;-215.921;-506.003;1
Piedade;3537800;-237.139;-474.256;1
Pilar do Sul;3537909;-238.077;-477.222;1
Pindamonhangaba;3538006;-229.246;-454.613;1
Pindorama;3538105;-211.853;-489.086;1
Pinhalzinho;3538204;-227.811;-465.897;1
Piquerobi;3538303;-218.747;-517.282;1
Piquete;3538501;-226.069;-451.869;1
Piracaia;3538600;-230.525;-463.594;1
Piracicaba;3538709;-227.338;-476.476;1
Piraju;3538808;-231.981;-493.803;1
Pirajuí;3538907;-21.999;-494.608;1
Pirangi;3539004;-210.886;-486.607;1
Pirapora do Bom Jesus;3539103;-233.965;-469.991;1
Pirapozinho;3539202;-222.711;-514.976;1
Pirassununga;3539301;-21.996;-474.257;1
Piratininga;3539400;-224.142;-491.339;1
Pitangueiras;3539509;-210.132;-48.221;1
Planalto;3539608;-210.342;-49.933;1
Platina;3539707;-226.371;-502.104;1
Poá;3539806;-235.333;-463.473;1
Poloni;3539905;-207.829;-498.258;1
Pompéia;3540002;-22.107;-50.176;1
Pongaí;3540101;-217.396;-493.604;1
Pontal;3540200;-210.216;-480.423;1
Pontalinda;3540259;-204.396;-505.258;1
Pontes Gestal;3540309;-201.727;-497.064;1
Populina;3540408;-199.453;-50.538;1
Porangaba;3540507;-231.761;-481.195;1
Porto Feliz;3540606;-232.093;-475.251;1
Porto Ferreira;3540705;-218.498;-47.487;1
Potim;3540754;-228.343;-452.552;1
Potirendaba;3540804;-210.428;-493.815;1
Pracinha;3540853;-218.496;-510.868;1
Pradópolis;3540903;-213.626;-480.679;1
Praia Grande;3541000;-240.084;-464.121;1
Pratânia;3541059;-228.112;-486.636;1
Presidente Alves;3541109;-220.999;-494.381;1
Presidente Bernardes;3541208;-220.082;-515.565;1
Presidente Epitácio;3541307;-217.651;-521.111;1
Presidente Prudente;3541406;-221.207;-513.925;1
Presidente Venceslau;3541505;-218.732;-518.447;1
Promissão;3541604;-215.356;-498.599;1
Quadra;3541653;-232.993;-480.547;1
Quatá;3541703;-222.456;-506.966;1
Queiroz;3541802;-217.969;-502.415;1
Queluz;3541901;-225.312;-447.781;1
Quintana;3542008;-220.692;-50.307;1
Rafard;3542107;-230.105;-475.318;1
Rancharia;3542206;-222.269;-50.893;1
Redenção da Serra;3542305;-232.638;-455.422;1
Regente Feijó;3542404;-222.181;-513.055;1
Reginópolis;3542503;-218.914;-492.268;1
Registro;3542602;-244.979;-478.449;1
Restinga;3542701;-206.056;-474.833;1
Ribeira;3542800;-246.517;-490.044;1
Ribeirão Bonito;3542909;-220.685;-48.182;1
Ribeirão Branco;3543006;-242.206;-487.635;1
Ribeirão Corrente;3543105;-204.579;-475.904;1
Ribeirão do Sul;3543204;-22.789;-49.933;1
Ribeirão dos índios;3543238;-218.382;-516.103;1
Ribeirão Grande;3543253;-241.011;-483.679;1
Ribeirão Pires;3543303;-237.067;-464.058;1
Ribeirão Preto;3543402;-211.699;-478.099;1
Rifaina;3543600;-200.803;-474.291;1
Rincão;3543709;-215.894;-480.728;1
Rinópolis;3543808;-217.284;-507.239;1
Rio Claro;3543907;-223.984;-475.546;1
Rio das Pedras;3544004;-228.417;-476.047;1
Rio Grande da Serra;3544103;-237.437;-463.971;1
Riolândia;3544202;-199.868;-496.836;1
Riversul;3543501;-23.829;-49.429;1
Rosana;3544251;-225.782;-530.603;1
Roseira;3544301;-228.938;-45.307;1
Rubiácea;3544400;-213.006;-507.296;1
Rubinéia;3544509;-201.759;-51.007;1
Sabino;3544608;-214.593;-495.755;1
Sagres;3544707;-218.823;-509.594;1
Sales;3544806;-213.427;-494.897;1
Sales Oliveira;3544905;-207.696;-478.369;1
Salesópolis;3545001;-235.288;-458.465;1
Salmourão;3545100;-216.267;-508.614;1
Saltinho;3545159;-228.442;-476.754;1
Salto;3545209;-231.996;-472.931;1
Salto de Pirapora;3545308;-236.474;-475.743;1
Salto Grande;3545407;-228.894;-499.831;1
Sandovalina;3545506;-224.551;-517.648;1
Santa Adélia;3545605;-212.427;-488.063;1
Santa Albertina;3545704;-200.311;-507.297;1
Santa Bárbara d'Oeste;3545803;-227.553;-474.143;1
Santa Branca;3546009;-233.933;-458.875;1
Santa Clara d'Oeste;3546108;-20.09;-509.491;1
Santa Cruz da Conceição;3546207;-221.405;-474.512;1
Santa Cruz da Esperança;3546256;-212.951;-474.304;1
Santa Cruz das Palmeiras;3546306;-218.235;-47.248;1
Santa Cruz do Rio Pardo;3546405;-228.988;-496.354;1
Santa Ernestina;3546504;-214.618;-483.953;1
Santa Fé do Sul;3546603;-202.083;-50.932;1
Santa Gertrudes;3546702;-224.572;-475.272;1
Santa Isabel;3546801;-233.172;-462.237;1
Santa Lúcia;3546900;-21.685;-480.885;1
Santa Maria da Serra;3547007;-225.661;-481.593;1
Santa Mercedes;3547106;-213.495;-517.564;1
Santa Rita d'Oeste;3547403;-201.414;-508.358;1
Santa Rita do Passa Quatro;3547502;-217.083;-47.478;1
Santa Rosa de Viterbo;3547601;-214.776;-473.622;1
Santa Salete;3547650;-202.429;-506.887;1
Santana da Ponte Pensa;3547205;-202.523;-508.014;1
Santana de Parnaíba;3547304;-234.439;-469.178;1
Santo Anastácio;3547700;-219.747;-516.527;1
Santo André;3547809;-236.737;-465.432;1
Santo Antônio da Alegria;3547908;-210.864;-471.464;1
Santo Antônio de Posse;3548005;-226.029;-469.192;1
Santo Antônio do Aracanguá;3548054;-209.331;-50.498;1
Santo Antônio do Jardim;3548104;-221.121;-466.845;1
Santo Antônio do Pinhal;3548203;-22.827;-45.663;1
Santo Expedito;3548302;-218.467;-513.929;1
Santópolis do Aguapeí;3548401;-216.376;-505.044;1
Santos;3548500;-239.535;-46.335;1
São Bento do Sapucaí;3548609;-226.837;-457.287;1
São Bernardo do Campo;3548708;-236.914;-465.646;1
São Caetano do Sul;3548807;-236.229;-465.548;1
São Carlos;3548906;-220.174;-47.886;1
São Francisco;3549003;-203.623;-506.952;1
São João da Boa Vista;3549102;-219.707;-467.944;1
São João das Duas Pontes;3549201;-203.879;-503.792;1
São João de Iracema;3549250;-205.111;-503.561;1
São João do Pau d'Alho;3549300;-212.662;-516.672;1
São Joaquim da Barra;3549409;-205.812;-478.593;1
São José da Bela Vista;3549508;-205.935;-476.424;1
São José do Barreiro;3549607;-226.414;-445.774;1
São José do Rio Pardo;3549706;-215.953;-468.873;1
São José do Rio Preto;3549805;-208.113;-493.758;1
São José dos Campos;3549904;-231.896;-458.841;1
São Lourenço da Serra;3549953;-238.491;-469.432;1
São Luiz do Paraitinga;3550001;-23.222;-453.109;1
São Manuel;3550100;-227.321;-485.723;1
São Miguel Arcanjo;3550209;-238.782;-479.935;1
São Pedro;3550407;-225.483;-479.096;1
São Pedro do Turvo;3550506;-227.453;-497.428;1
São Roque;3550605;-235.226;-471.357;1
São Sebastião;3550704;-237.951;-454.143;1
São Sebastião da Grama;3550803;-217.041;-468.208;1
São Simão;3550902;-214.732;-475.518;1
São Vicente;3551009;-239.574;-463.883;1
Sarapuí;3551108;-236.397;-478.249;1
Sarutaiá;3551207;-232.721;-494.763;1
Sebastianópolis do Sul;3551306;-206.523;-49.925;1
Serra Azul;3551405;-213.074;-475.602;1
Serra Negra;3551603;-226.139;-467.033;1
Serrana;3551504;-212.043;-475.952;1
Sertãozinho;3551702;-211.316;-479.875;1
Sete Barras;3551801;-24.382;-479.279;1
Severínia;3551900;-208.108;-488.054;1
Silveiras;3552007;-226.638;-448.522;1
Socorro;3552106;-225.903;-465.251;1
Sorocaba;3552205;-234.969;-474.451;1
Sud Mennucci;3552304;-206.872;-509.238;1
Sumaré;3552403;-228.204;-472.728;1
Suzanápolis;3552551;-204.981;-510.268;1
Suzano;3552502;-235.448;-463.112;1
Tabapuã;3552601;-209.602;-490.307;1
Tabatinga;3552700;-217.239;-486.896;1
Taboão da Serra;3552809;-236.019;-467.526;1
Taciba;3552908;-223.866;-512.882;1
Taguaí;3553005;-234.452;-494.024;1
